Here are the names of 235 colors in X11R3 (the same used by Tk and
hence by Blox), together with RGB mappings (not exactly the ones used
by Tk, which tries to use 48-bit color, but much like). You can freely
use them instead of strings returned by #createColor:green:blue: and
#createColor:magenta:yellow:.

Actually, even on non-Unix platforms Tk supports X11R4 colors, hence 
you can append a 1, 2, 3 or 4 to most colors. Examples:
- coral1 is just slightly darker than coral, coral4 is the darkest
  of the five;
- bisque1 is the same as bisque, and bisque4 is the 'grayest' of the
  five;
- chocolate is the same as chocolate2, chocolate1 is lighter, chocolate3
  and chocolate4 are darker.
211 211 211             LightGrey
255 182 193             LightPink
255 160 122             LightSalmon
 32 178 170             LightSeaGreen
135 206 250             LightSkyBlue
132 112 255             LightSlateBlue
119 136 153             LightSlateGrey
176 196 222             LightSteelBlue
255 255 224             LightYellow
 50 205  50             LimeGreen
250 240 230             linen
255   0 255             magenta
176  48  96             maroon
102 205 170             MediumAquamarine
  0   0 205             MediumBlue
186  85 211             MediumOrchid
147 112 219             MediumPurple
 60 179 113             MediumSeaGreen
123 104 238             MediumSlateBlue
  0 250 154             MediumSpringGreen
 72 209 204             MediumTurquoise
199  21 133             MediumVioletRed
 25  25 112             MidnightBlue
245 255 250             MintCream
255 228 225             MistyRose
255 228 181             moccasin
255 222 173             NavajoWhite
  0   0 128             NavyBlue
253 245 230             OldLace
107 142  35             OliveDrab
255  69   0             OrangeRed
255 165   0             orange
218 112 214             orchid
238 232 170             PaleGoldenrod
152 251 152             PaleGreen
175 238 238             PaleTurquoise
219 112 147             PaleVioletRed
255 239 213             PapayaWhip
255 218 185             PeachPuff
205 133  63             peru
255 192 203             pink
221 160 221             plum
176 224 230             PowderBlue
128 128   0             PureDarkBrown
  0 128 128             PureDarkCyan
  0 128   0             PureDarkGreen
128 128 128             PureDarkGrey
128   0 128             PureDarkMagenta
128   0   0             PureDarkRed
160  32 240             purple
255   0   0             red
188 143 143             RosyBrown
 65 105 225             RoyalBlue
139  69  19             SaddleBrown
250 128 114             salmon
244 164  96             SandyBrown
 46 139  87             SeaGreen
255 245 238             seashell
160  82  45             sienna
135 206 235             SkyBlue
106  90 205             SlateBlue
112 128 144             SlateGray
255 250 250             snow
  0 255 127             SpringGreen
 70 130 180             SteelBlue
210 180 140             tan
216 191 216             thistle
255  99  71             tomato
208  32 144             VioletRed
238 130 238             violet
245 222 179             wheat
245 245 245             WhiteSmoke
255 255 255             white
154 205  50             YellowGreen
255 255   0             yellow
